epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0748,0.7415,6.10034,0.01773,0.8743,0.36918,0.61686,0.45118,0.94173,5.44229,0.03308,0.000471753,0.000471753,0.000471753
2,35.4274,0.78685,3.58792,0.01908,0.68917,0.69847,0.77074,0.58783,0.97695,1.77452,0.03642,0.000947984,0.000947984,0.000947984
3,47.7287,0.84774,2.15726,0.02065,0.78827,0.83901,0.86569,0.62023,1.07313,0.93452,0.04117,0.0014238,0.0014238,0.0014238
4,59.878,0.83289,1.44229,0.02014,0.84962,0.80351,0.89258,0.64862,0.9468,0.83506,0.03468,0.0014276,0.0014276,0.0014276
5,72.0373,0.82039,1.20674,0.01968,0.77175,0.66421,0.70291,0.54423,1.15428,1.4911,0.04205,0.00142652,0.00142652,0.00142652
6,84.2078,0.8628,1.11135,0.02081,0.82913,0.81033,0.88842,0.67909,0.89119,0.81267,0.03251,0.00142513,0.00142513,0.00142513
7,96.3501,0.7912,0.91674,0.01913,0.82729,0.87759,0.92827,0.73487,0.80593,0.66406,0.02749,0.00142342,0.00142342,0.00142342
8,108.504,0.77916,0.85649,0.01826,0.82812,0.85531,0.88286,0.63075,1.1202,0.81626,0.04078,0.00142141,0.00142141,0.00142141
9,120.68,0.779,0.86205,0.01859,0.89735,0.87471,0.93193,0.72525,0.88083,0.64953,0.03248,0.00141909,0.00141909,0.00141909
10,132.828,0.76243,0.83178,0.01788,0.86833,0.81999,0.915,0.7068,0.84231,0.77101,0.02875,0.00141647,0.00141647,0.00141647
11,144.985,0.74194,0.80203,0.017,0.88169,0.89429,0.95132,0.7337,0.87821,0.57096,0.03134,0.00141354,0.00141354,0.00141354
12,157.109,0.72434,0.73889,0.01686,0.86401,0.90823,0.9435,0.75237,0.88841,0.55557,0.03236,0.00141031,0.00141031,0.00141031
13,169.245,0.71475,0.73703,0.0165,0.92133,0.81333,0.92367,0.717,0.8993,0.6402,0.03192,0.00140678,0.00140678,0.00140678
14,181.435,0.73217,0.7361,0.01671,0.87614,0.88615,0.93596,0.73693,0.86844,0.67206,0.03114,0.00140294,0.00140294,0.00140294
15,193.614,0.71517,0.69757,0.01669,0.87581,0.86862,0.93977,0.74567,0.8095,0.63482,0.02783,0.00139881,0.00139881,0.00139881
16,205.77,0.70906,0.69665,0.01625,0.88726,0.92366,0.95387,0.77507,0.77016,0.49326,0.02688,0.00139438,0.00139438,0.00139438
17,217.944,0.71139,0.66874,0.01626,0.93252,0.89722,0.95961,0.78122,0.76177,0.48924,0.02589,0.00138965,0.00138965,0.00138965
18,230.13,0.68253,0.65952,0.01579,0.91531,0.87533,0.95444,0.76857,0.85952,0.5108,0.0307,0.00138464,0.00138464,0.00138464
19,242.271,0.6619,0.6035,0.01513,0.88231,0.84352,0.90609,0.72625,0.85246,0.70339,0.0288,0.00137933,0.00137933,0.00137933
20,254.43,0.6664,0.58346,0.0152,0.94196,0.92606,0.96416,0.79138,0.77648,0.51538,0.0263,0.00137373,0.00137373,0.00137373
21,266.616,0.67583,0.63023,0.01525,0.90389,0.93052,0.96315,0.79573,0.72267,0.45786,0.02463,0.00136785,0.00136785,0.00136785
22,278.841,0.70896,0.62157,0.01626,0.87736,0.84939,0.92484,0.73564,0.82925,0.64977,0.02881,0.00136168,0.00136168,0.00136168
23,291.03,0.67852,0.60761,0.01559,0.9562,0.89439,0.96322,0.78294,0.81322,0.45026,0.02822,0.00135523,0.00135523,0.00135523
24,303.174,0.66916,0.58559,0.01534,0.93415,0.93284,0.96063,0.75937,0.81657,0.48508,0.02842,0.00134851,0.00134851,0.00134851
25,315.346,0.66395,0.60166,0.01534,0.93597,0.94769,0.97757,0.7745,0.82075,0.37315,0.02846,0.0013415,0.0013415,0.0013415
26,327.516,0.66358,0.59396,0.01477,0.91542,0.91906,0.96725,0.77843,0.83583,0.48882,0.02913,0.00133423,0.00133423,0.00133423
27,339.643,0.67857,0.60995,0.01536,0.95822,0.92411,0.97137,0.80531,0.74379,0.42038,0.02549,0.00132669,0.00132669,0.00132669
28,351.789,0.63912,0.56748,0.01433,0.82439,0.84974,0.9231,0.73162,0.83528,0.76488,0.02869,0.00131888,0.00131888,0.00131888
29,363.939,0.64016,0.56419,0.01452,0.91191,0.94727,0.96871,0.78732,0.83094,0.42567,0.0293,0.00131082,0.00131082,0.00131082
30,376.134,0.634,0.54796,0.01445,0.94973,0.93649,0.97464,0.78882,0.79957,0.40347,0.02752,0.00130249,0.00130249,0.00130249
31,388.321,0.64455,0.517,0.01462,0.93898,0.93502,0.97458,0.80495,0.73626,0.42333,0.02587,0.00129391,0.00129391,0.00129391
32,400.437,0.59179,0.50134,0.01318,0.97737,0.95094,0.98145,0.81609,0.65618,0.36239,0.02172,0.00128507,0.00128507,0.00128507
33,412.662,0.62188,0.55189,0.0138,0.92621,0.79661,0.88383,0.72697,0.89125,1.03262,0.03231,0.00127599,0.00127599,0.00127599
34,424.814,0.62594,0.51542,0.01389,0.92844,0.92888,0.96759,0.75911,0.81967,0.5897,0.02912,0.00126667,0.00126667,0.00126667
35,436.952,0.64531,0.55485,0.01506,0.97288,0.89762,0.95365,0.75363,0.82569,0.58626,0.02843,0.00125711,0.00125711,0.00125711
36,449.072,0.61827,0.50707,0.01374,0.91547,0.87482,0.93248,0.75707,0.76209,0.57424,0.02563,0.00124731,0.00124731,0.00124731
37,461.226,0.63318,0.52284,0.01412,0.9372,0.94719,0.97796,0.82088,0.73207,0.39978,0.02532,0.00123728,0.00123728,0.00123728
38,473.42,0.59065,0.48547,0.01287,0.94269,0.95996,0.97903,0.779,0.80822,0.39791,0.02749,0.00122703,0.00122703,0.00122703
